Date,TEMP
1616664325,36
1618573399,38
1619099982,41
1619099985,41
1619099988,36
1619099991,33
1619099994,42
1619099997,34
1619100000,35
1619100003,43
1619100006,40
1619100009,40
1619100012,43
1619100015,38
1619100018,38
1619100021,33
1619100024,40
1619100027,43
1619100030,34
1619100033,43
1619100036,41
1619100039,35
1619100042,33
1619100045,40
1619100048,38
1619100051,35
1619100054,35
1619100057,38
1619100060,41
1619100063,36
1619100066,41
1619100069,36
1619100072,41
1619100075,36
1619100078,34
1619100081,37
1619100084,35
1619100087,33
1619100090,41
1619100093,39
1619100096,37
1619100099,38
1619100102,36
1619100105,35
1619100108,39
1619100111,36
1619100114,35
1619100117,33
1619100120,34
1619100123,35
1619100126,34
1619100129,36
1619100132,36
1619100135,36
1619100138,41
1619100141,34
1619100144,38
1619100147,40
1619100150,42
1619100153,34
1619100156,34
1619100159,42
1619100162,38
1619100165,38
1619100168,38
1619100171,37
1619100174,34
1619100177,43
1619100180,38
1619100183,43
1619100186,35
1619100189,43
1619100192,41
1619100195,43
1619100198,36
1619100201,43
1619100204,43
1619100207,41
1619100210,38
1619100213,37
1619100216,39
1619100219,40
1619100222,37
1619100225,37
1619100228,39
1619100231,43
1619100234,43
1619100237,41
1619100240,36
1619100243,35
1619100246,42
1619100249,40
1619100252,34
1619542137,34
1619542146,36
1619542149,34
1619542152,33
1619542155,38
1619542158,34
1619542161,37
1619542164,35
1619542167,37
1619542170,38
1619542173,33
1619542176,34
1619542179,38
1619542182,39
1619542185,37
1619542188,36
1619542191,33
1619542194,41
1619542197,34
1619542200,37
1619542203,34
1619542206,35
1619542209,43
