Date,BLANKET
1616673585,30

1619099986,2
1619099990,2
1619099994,2
1619099998,2
1619100002,2
1619100006,2
1619100010,2
1619100014,2
1619100018,2
1619100022,2
1619100026,2
1619100030,2
1619100034,2
1619100038,2
1619100042,2
1619100046,2
1619100050,2
1619100054,2
1619100058,2
1619100062,2
1619100066,2
1619100070,2
1619100074,2
1619100078,2
1619100082,2
1619100086,2
1619100090,2
1619100094,2
1619100098,2
1619100102,2
1619100106,30
1619100110,30
1619100114,30
1619100118,30
1619100122,30
1619100126,30
1619100130,30
1619100134,30
1619100138,30
1619100142,30
1619100146,30
1619100150,30
1619100154,30
1619100158,30
1619100162,2
1619100166,30
1619100170,30
1619100174,30
1619100178,2
1619100182,30
1619100186,2
1619100190,2
1619100194,30
1619100198,2
1619100202,2
1619100206,2
1619100210,30
1619100214,30
1619100218,30
1619100222,30
1619100226,30
1619100230,30
1619100234,2
1619100238,30
1619100242,30
1619100246,30
1619100250,30
1619100254,30
1619100258,30
1619100262,30
